,target
0,1
1,1
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,0
15,1
16,0
17,0
18,0
19,0
20,1
21,1
22,1
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,0
34,0
35,1
36,1
37,1
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,1
49,0
50,0
51,1
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,1
60,0
61,0
62,1
63,0
64,1
65,1
66,1
67,0
68,1
69,1
70,0
71,1
72,0
73,0
74,0
75,1
76,0
77,0
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,0
87,1
88,0
89,1
90,0
91,1
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,1
100,0
101,0
102,0
103,0
104,1
105,0
106,1
107,0
108,1
109,0
110,1
111,1
112,0
113,1
114,0
115,1
116,1
117,0
118,1
119,0
120,1
121,0
122,1
123,0
124,1
125,0
126,0
127,0
128,1
129,0
130,0
131,0
132,0
133,1
134,0
135,0
136,0
137,1
138,1
139,1
140,0
141,0
142,1
143,0
144,0
145,1
146,1
147,1
148,0
149,1
150,1
151,1
152,1
153,0
154,1
155,1
156,0
157,1
158,0
159,0
160,1
161,0
162,1
163,0
164,0
165,1
166,1
167,1
168,1
169,0
170,1
171,0
172,1
173,1
174,0
175,0
176,1
177,1
178,1
179,1
180,1
181,0
182,1
183,1
184,0
185,1
186,0
187,0
188,0
189,1
190,0
191,1
192,0
193,0
194,1
195,0
196,0
197,0
198,1
199,0
200,1
201,0
202,0
203,1
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,1
212,1
213,1
214,0
215,1
216,1
217,0
218,1
219,1
220,1
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,0
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,1
239,0
240,1
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,0
249,1
250,1
251,1
252,0
253,1
254,0
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,1
264,0
265,0
266,0
267,1
268,0
269,1
270,1
271,1
272,1
273,0
274,0
275,0
276,1
277,1
278,1
279,1
280,0
281,0
282,1
283,0
284,1
285,1
286,1
287,0
288,1
289,1
290,0
291,1
292,0
293,0
294,1
295,1
296,0
297,1
298,0
299,1
300,1
301,1
302,1
303,0
304,0
305,1
306,1
307,0
308,0
309,1
310,0
311,1
312,1
313,1
314,1
315,1
316,1
317,0
318,1
319,0
320,1
321,1
322,1
323,1
324,0
325,1
326,0
327,0
328,0
329,0
330,0
331,1
332,0
333,0
334,1
335,0
336,0
337,1
338,0
339,1
340,0
341,1
342,0
343,1
344,1
345,1
346,1
347,1
348,0
349,1
350,0
351,1
352,0
353,0
354,1
355,0
356,0
357,0
358,0
359,1
360,0
361,0
362,0
363,0
364,0
365,1
366,1
367,1
368,1
369,1
370,0
371,1
372,0
373,0
374,0
375,1
376,1
377,1
378,1
379,1
380,1
381,0
382,0
383,0
384,1
385,0
386,0
387,0
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,0
397,0
398,0
399,0
400,1
401,1
402,1
403,0
404,0
405,0
406,1
407,1
408,0
409,1
410,1
411,1
412,1
413,1
414,0
415,1
416,1
417,1
418,0
419,0
420,1
421,0
422,0
423,1
424,1
425,0
426,0
427,0
428,1
429,1
430,0
431,0
432,1
433,1
434,1
435,1
436,0
437,1
438,1
439,1
440,0
441,1
442,0
443,0
444,1
445,0
446,0
447,0
448,0
449,1
450,0
451,1
452,0
453,1
454,1
455,0
456,0
457,0
458,1
459,0
460,0
461,1
462,0
463,0
464,0
465,1
466,0
467,1
468,1
469,1
470,1
471,0
472,0
473,1
474,1
475,0
476,1
477,0
478,0
479,1
480,0
481,0
482,1
483,1
484,1
485,0
486,1
487,0
488,0
489,1
490,1
491,0
492,0
493,1
494,0
495,0
496,1
497,0
498,1
499,0
500,1
501,0
502,1
503,0
504,0
505,1
506,1
507,1
508,1
509,0
510,1
511,1
512,1
513,0
514,0
515,1
516,0
517,1
518,0
519,0
520,0
521,1
522,0
523,1
524,1
525,0
526,1
527,0
528,1
529,1
530,0
531,1
532,0
533,0
534,1
535,0
536,0
537,1
538,1
539,1
540,0
541,0
542,0
543,0
544,1
545,1
546,0
547,1
548,0
549,1
550,0
551,1
552,1
553,0
554,0
555,0
556,0
557,1
558,0
559,1
560,1
561,1
562,0
563,1
564,1
565,1
566,0
567,1
568,1
569,0
570,1
571,0
572,1
573,1
574,0
575,1
576,0
577,1
578,0
579,1
580,1
581,0
582,1
583,0
584,1
585,0
586,0
587,0
588,0
589,1
590,0
591,1
592,0
593,0
594,0
595,1
596,1
597,1
598,1
599,1
600,0
601,0
602,0
603,1
604,0
605,0
606,0
607,1
608,0
609,0
610,1
611,0
612,1
613,0
614,1
615,0
616,1
617,1
618,1
619,0
620,0
621,0
622,1
623,0
624,1
625,0
626,0
627,1
628,1
629,0
630,0
631,0
632,0
633,1
634,1
635,1
636,1
637,1
638,0
639,0
640,1
641,1
642,1
643,0
644,0
645,0
646,1
647,0
648,0
649,1
650,1
651,1
652,1
653,0
654,0
655,1
656,0
657,1
658,1
659,0
660,0
661,1
662,1
663,0
664,0
665,1
666,0
667,0
668,0
669,1
670,1
671,1
672,0
673,0
674,1
675,0
676,1
677,0
678,1
679,0
680,1
681,1
682,1
683,1
684,0
685,0
686,1
687,1
688,0
689,0
690,1
691,0
692,0
693,1
694,1
695,1
696,0
697,0
698,0
699,1
700,0
701,0
702,0
703,1
704,0
705,1
706,0
707,1
708,1
709,0
710,0
711,1
712,1
713,0
714,1
715,0
716,1
717,0
718,0
719,0
720,0
721,1
722,0
723,1
724,0
725,0
726,0
727,0
728,1
729,1
730,0
731,0
732,0
733,1
734,1
735,0
736,1
737,1
738,0
739,0
740,1
741,1
742,1
743,0
744,1
745,1
746,0
747,1
748,0
749,1
750,0
751,0
752,0
753,0
754,0
755,1
756,1
757,0
758,0
759,1
760,0
761,0
762,1
763,0
764,0
765,1
766,1
767,1
768,1
769,1
770,0
771,0
772,1
773,1
774,0
775,0
776,1
777,0
778,1
779,1
780,0
781,1
782,0
783,1
784,1
785,0
786,1
787,0
788,1
789,1
790,0
791,1
792,0
793,0
794,1
795,1
796,1
797,1
798,0
799,0
800,0
801,0
802,1
803,1
804,1
805,1
806,0
807,1
808,0
809,1
810,1
811,0
812,0
