,target
0,0
1,1
2,1
3,1
4,1
5,0
6,0
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,0
15,1
16,1
17,1
18,1
19,0
20,0
21,0
22,1
23,1
24,1
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,1
43,1
44,1
45,1
46,1
47,0
48,0
49,1
50,1
51,1
52,0
53,0
54,1
55,0
56,1
57,1
58,1
59,0
60,1
61,1
62,0
63,0
64,1
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,1
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,0
92,0
93,0
94,1
95,0
96,1
97,0
98,0
99,1
100,0
101,1
102,0
103,1
104,0
105,0
106,0
107,0
108,1
109,1
110,0
111,1
112,1
113,0
114,0
115,1
116,0
117,0
118,0
119,0
120,1
121,1
122,0
123,0
124,0
125,0
126,1
127,0
128,1
129,1
130,1
131,1
132,1
133,1
134,0
135,1
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,1
144,0
145,1
146,0
147,1
148,0
149,1
150,1
151,0
152,1
153,1
154,0
155,1
156,1
157,0
158,1
159,1
160,0
161,0
162,1
163,1
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,1
173,1
174,0
175,0
176,0
177,0
178,1
179,1
180,1
181,1
182,1
183,1
184,0
185,0
186,0
187,0
188,1
189,1
190,1
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,0
199,1
200,0
201,1
202,0
203,1
204,1
205,0
206,1
207,1
208,0
209,1
210,0
211,0
212,1
213,0
214,1
215,1
216,0
217,0
218,1
219,0
220,1
221,1
222,1
223,1
224,1
225,0
226,1
227,1
228,1
229,0
230,1
231,0
232,0
233,0
234,0
235,1
236,1
237,0
238,1
239,1
240,0
241,1
242,0
243,1
244,1
245,0
246,0
247,1
248,0
249,0
250,1
251,0
252,1
253,0
254,0
255,0
256,1
257,0
258,0
259,1
260,1
261,0
262,1
263,0
264,0
265,0
266,1
267,1
268,1
269,1
270,0
271,0
272,1
273,0
274,0
275,1
276,0
277,0
278,0
279,1
280,1
281,0
282,0
283,0
284,0
285,0
286,1
287,0
288,1
289,0
290,0
291,1
292,0
293,0
294,0
295,0
296,1
297,0
298,1
299,0
300,1
301,0
302,1
303,0
304,0
305,1
306,0
307,0
308,0
309,1
310,0
311,1
312,0
313,1
314,0
315,0
316,1
317,1
318,1
319,0
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,0
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,1
339,1
340,0
341,0
342,0
343,0
344,1
345,0
346,1
347,0
348,0
349,1
350,1
351,0
352,1
353,0
354,1
355,0
356,0
357,0
358,1
359,0
360,0
361,0
362,1
363,1
364,0
365,0
366,1
367,1
368,0
369,1
370,0
371,0
372,1
373,1
374,1
375,0
376,1
377,1
378,0
379,1
380,1
381,1
382,0
383,0
384,0
385,0
386,1
387,0
388,1
389,1
390,1
391,0
392,1
393,0
394,0
395,0
396,1
397,1
398,1
399,0
400,1
401,0
402,0
403,1
404,0
405,1
406,0
407,0
408,0
409,1
410,0
411,1
412,0
413,0
414,0
415,1
416,1
417,1
418,0
419,0
420,1
421,1
422,1
423,0
424,0
425,0
426,0
427,1
428,0
429,0
430,0
431,0
432,1
433,0
434,1
435,0
436,1
437,0
438,1
439,1
440,1
441,0
442,0
443,0
444,0
445,1
446,1
447,0
448,1
449,1
450,1
451,1
452,0
453,1
454,0
455,0
456,1
457,1
458,1
459,0
460,1
461,0
462,1
463,0
464,0
465,1
466,0
467,1
468,0
469,1
470,1
471,0
472,1
473,0
474,1
475,1
476,1
477,1
478,0
479,1
480,1
481,1
482,1
483,1
484,0
485,1
486,0
487,0
488,1
489,0
490,0
491,1
492,1
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,1
502,0
503,1
504,1
505,1
506,1
507,1
508,0
509,1
510,1
511,0
512,1
513,1
514,0
515,1
516,0
517,1
518,1
519,0
520,0
521,0
522,0
523,1
524,1
525,0
526,1
527,0
528,1
529,1
530,0
531,0
532,1
533,1
534,0
535,0
536,1
537,0
538,1
539,0
540,0
541,0
542,0
543,1
544,0
545,1
546,1
547,1
548,1
549,0
550,1
551,1
552,1
553,1
554,1
555,0
556,0
557,0
558,1
559,1
560,1
561,0
562,0
563,0
564,1
565,0
566,0
567,0
568,0
569,0
570,1
571,1
572,1
573,1
574,0
575,1
576,1
577,0
578,0
579,0
580,1
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,1
589,0
590,1
591,0
592,0
593,1
594,0
595,0
596,1
597,0
598,0
599,1
600,0
601,0
602,0
603,1
604,0
605,0
606,1
607,0
608,0
609,0
610,1
611,1
612,0
613,0
614,1
615,0
616,0
617,1
618,0
619,1
620,1
621,1
622,1
623,0
624,1
625,1
626,1
627,0
628,1
629,0
630,0
631,1
632,0
633,1
634,0
635,0
636,1
637,0
638,0
639,0
640,1
641,1
642,0
643,0
644,1
645,1
646,1
647,1
648,0
649,0
650,0
651,0
652,0
653,0
654,1
655,1
656,1
657,0
658,1
659,0
660,0
661,1
662,0
663,0
664,1
665,0
666,0
667,1
668,0
669,0
670,0
671,1
672,1
673,1
674,0
675,1
676,1
677,0
678,1
679,1
680,1
681,0
682,0
683,0
684,1
685,1
686,1
687,1
688,0
689,1
690,0
691,0
692,1
693,1
694,0
695,0
696,1
697,1
698,0
699,1
700,1
701,1
702,1
703,1
704,0
705,0
706,1
707,0
708,1
709,1
710,0
711,0
712,1
713,1
714,0
715,1
716,0
717,1
718,1
719,1
720,0
721,0
722,0
723,1
724,0
725,1
726,1
727,1
728,0
729,0
730,0
731,1
732,1
733,0
734,0
735,0
736,1
737,1
738,1
739,0
740,1
741,1
742,0
743,0
744,1
745,0
746,1
747,0
748,0
749,1
750,0
751,1
752,0
753,0
754,0
755,1
756,0
757,1
758,1
759,0
760,1
761,0
762,0
763,1
764,1
765,0
766,1
767,1
768,1
769,0
770,0
771,1
772,1
773,1
774,1
775,1
776,0
777,0
778,1
779,0
780,0
781,0
782,0
783,1
784,1
785,1
786,1
787,0
788,0
789,1
790,0
791,1
792,0
793,0
794,1
795,1
796,0
797,1
798,1
799,0
800,0
801,0
802,1
803,1
804,1
805,1
806,1
807,0
808,1
809,0
810,1
811,0
812,0
813,1
814,1
815,1
816,0
817,0
818,1
819,0
820,1
821,1
822,1
823,0
824,1
825,1
826,0
827,0
828,1
829,1
830,1
831,0
832,0
833,0
834,1
835,1
836,0
837,1
838,0
839,1
840,0
841,0
842,1
843,1
844,1
845,1
846,0
847,1
848,1
849,0
850,1
851,1
852,0
853,1
854,0
855,0
856,1
857,1
858,0
859,1
860,1
861,0
862,1
863,0
864,0
865,0
866,1
867,1
868,0
869,0
870,0
871,1
872,1
873,0
874,1
875,1
876,1
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,1
885,0
886,1
887,0
888,1
889,0
890,0
891,0
892,1
893,1
894,1
895,0
896,1
897,1
898,0
899,0
900,0
901,1
902,0
903,1
904,1
905,0
906,1
907,0
908,0
909,0
910,0
911,0
912,1
913,0
914,0
915,0
916,1
917,1
918,0
919,0
920,0
921,0
922,1
923,1
924,1
925,1
926,0
927,0
928,1
929,0
930,1
931,0
932,1
933,1
934,1
935,1
936,1
937,0
938,1
939,0
940,0
941,1
942,1
943,0
944,1
945,1
946,0
947,0
948,0
949,1
950,1
951,1
952,1
953,0
954,1
955,0
956,1
957,1
958,1
959,0
960,1
961,1
962,0
963,0
964,0
965,0
966,1
967,1
968,1
969,0
970,1
971,0
972,1
973,0
974,0
975,0
976,1
977,1
978,1
979,0
980,0
981,1
982,1
983,1
984,0
985,1
986,1
987,1
988,1
989,0
990,1
991,0
992,1
993,1
994,0
995,0
996,0
997,1
998,0
999,1
