,target
0,1
1,1
2,1
3,0
4,1
5,0
6,1
7,0
8,1
9,0
10,0
11,0
12,1
13,1
14,1
15,0
16,0
17,0
18,0
19,1
20,1
21,0
22,0
23,1
24,1
25,0
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,0
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,1
51,0
52,1
53,1
54,1
55,0
56,1
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,1
65,0
66,0
67,0
68,0
69,1
70,0
71,1
72,0
73,0
74,0
75,0
76,1
77,0
78,1
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,1
90,1
91,0
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,1
122,0
123,0
124,1
125,1
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
149,1
150,1
151,1
152,1
153,0
154,1
155,0
156,1
157,1
158,0
159,0
160,0
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,0
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,0
177,1
178,0
179,0
180,1
181,0
182,1
183,0
184,1
185,0
186,1
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,1
195,1
196,0
197,1
198,1
199,0
200,0
201,1
202,0
203,0
204,1
205,0
206,1
207,0
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,0
217,1
218,0
219,1
220,0
221,0
222,1
223,1
224,1
225,0
226,1
227,0
228,1
229,1
230,0
231,1
232,0
233,0
234,0
235,1
236,0
237,0
238,1
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,1
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,0
255,0
256,0
257,0
258,0
259,1
260,0
261,0
262,0
263,1
264,0
265,1
266,0
267,1
268,0
269,0
270,1
271,1
272,1
273,1
274,0
275,0
276,0
277,1
278,0
279,0
280,0
281,1
282,0
283,1
284,1
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,1
293,0
294,1
295,0
296,0
297,0
298,0
299,1
300,0
301,0
302,1
303,1
304,1
305,1
306,1
307,0
308,0
309,1
310,1
311,1
312,0
313,1
314,0
315,0
316,0
317,1
318,1
319,1
320,0
321,1
322,0
323,1
324,0
325,0
326,1
327,0
328,0
329,1
330,1
331,0
332,0
333,0
334,1
335,1
336,1
337,1
338,1
339,1
340,0
341,0
342,0
343,1
344,1
345,1
346,0
347,1
348,1
349,0
350,0
351,1
352,1
353,1
354,0
355,0
356,0
357,1
358,0
359,1
360,0
361,1
362,0
363,0
364,1
365,1
366,1
367,0
368,1
369,1
370,0
371,0
372,1
373,1
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,1
386,0
387,1
388,1
389,0
390,0
391,0
392,1
393,0
394,0
395,0
396,1
397,1
398,0
399,0
400,0
401,0
402,1
403,0
404,0
405,0
406,0
407,1
408,1
409,0
410,1
411,0
412,1
413,1
414,0
415,1
416,1
417,1
418,0
419,0
420,1
421,1
422,1
423,1
424,0
425,1
426,0
427,0
428,0
429,0
430,1
431,0
432,1
433,0
434,0
435,1
436,1
437,1
438,1
439,0
440,0
441,0
442,0
443,1
444,1
445,0
446,1
447,0
448,0
449,0
450,0
451,0
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,0
461,1
462,1
463,1
464,0
465,1
466,1
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,1
475,1
476,0
477,0
478,1
479,0
480,1
481,1
482,1
483,1
484,0
485,0
486,0
487,0
488,0
489,1
490,1
491,0
492,0
493,0
494,0
495,1
496,0
497,0
498,0
499,0
500,0
501,0
502,1
503,1
504,1
505,1
506,1
507,1
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,1
517,1
518,0
519,0
520,1
521,1
522,1
523,0
524,1
525,0
526,0
527,1
528,1
529,0
530,1
531,1
532,0
533,1
534,1
535,1
536,1
537,1
538,0
539,1
540,1
541,0
542,0
543,0
544,1
545,0
546,1
547,1
548,0
549,1
550,0
551,1
552,1
553,0
554,0
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,0
563,1
564,1
565,0
566,1
567,1
568,0
569,0
570,1
571,0
572,1
573,1
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,1
582,1
583,1
584,1
585,0
586,1
587,0
588,1
589,0
590,0
591,1
592,1
593,1
594,0
595,1
596,0
597,0
598,1
599,0
600,0
601,1
602,0
603,0
604,0
605,1
606,0
607,0
608,1
609,1
610,1
611,0
612,1
613,0
614,0
615,0
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,0
624,0
625,0
626,1
627,0
628,1
629,0
630,1
631,1
632,1
633,1
634,0
635,1
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,1
645,0
646,0
647,0
648,1
649,1
650,0
651,1
652,1
653,0
654,0
655,1
656,0
657,0
658,1
659,0
660,0
661,1
662,0
663,0
664,1
665,0
666,1
667,1
668,0
669,1
670,1
671,0
672,0
673,0
674,1
675,0
676,0
677,0
678,0
679,1
680,1
681,1
682,0
683,0
684,0
685,1
686,1
687,0
688,0
689,0
690,1
691,1
692,0
693,0
694,0
695,0
696,1
697,1
698,0
699,1
700,0
701,0
702,0
703,0
704,1
705,1
706,1
707,0
708,1
709,0
710,0
711,1
712,0
713,1
714,0
715,0
716,0
717,1
718,0
719,1
720,0
721,1
722,0
723,0
724,0
725,0
726,1
727,0
728,0
729,0
730,1
731,0
732,0
733,0
734,1
735,1
736,0
737,0
738,0
739,0
740,1
741,1
742,1
743,0
744,0
745,1
746,0
747,0
748,1
749,0
750,0
751,1
752,1
753,0
754,0
755,0
756,0
757,1
758,0
759,0
760,1
761,0
762,1
763,0
764,0
765,1
766,0
767,1
768,0
769,1
770,0
771,1
772,0
773,1
774,1
775,0
776,0
777,1
778,1
779,0
780,0
781,1
782,1
783,0
784,1
785,1
786,0
787,1
788,1
789,0
790,1
791,1
792,0
793,1
794,0
795,1
796,1
797,1
798,1
799,0
800,1
801,1
802,0
803,0
804,1
805,1
806,1
807,0
808,1
809,0
810,1
811,1
812,0
